qx, qy, qz, qw, ax, ay, az, gx, gy, gz
8071,-2541,-5832,12760,176,-1453,1439,140,-315,151
8041,-2486,-5826,12792,203,-1396,1434,193,-322,107
8017,-2430,-5828,12817,244,-1394,1480,142,-319,62
7993,-2377,-5840,12836,266,-1439,1439,115,-320,48
7976,-2319,-5839,12858,276,-1477,1480,197,-296,24
7965,-2256,-5822,12884,305,-1450,1520,277,-267,21
7956,-2195,-5800,12910,309,-1425,1487,300,-231,14
7953,-2137,-5775,12932,297,-1448,1492,322,-205,-17
7955,-2078,-5746,12954,340,-1426,1459,351,-172,-27
7957,-2026,-5717,12973,353,-1431,1471,338,-137,-23
7961,-1978,-5692,12990,393,-1466,1489,314,-113,-19
7964,-1939,-5667,13005,398,-1463,1507,288,-72,-8
7967,-1907,-5637,13020,367,-1406,1495,279,-36,4
7974,-1874,-5596,13039,325,-1310,1543,290,-30,-5
7979,-1844,-5567,13053,336,-1315,1547,225,-48,-15
7988,-1814,-5541,13062,324,-1329,1515,223,-48,-56
8000,-1779,-5515,13071,344,-1334,1540,243,-56,-71
8012,-1745,-5488,13079,298,-1292,1588,210,-77,-85
8029,-1704,-5468,13083,353,-1247,1525,207,-85,-116
8051,-1662,-5455,13080,398,-1276,1527,180,-83,-156
8085,-1617,-5448,13068,440,-1246,1535,141,-70,-233
8126,-1580,-5449,13046,497,-1258,1558,70,-21,-264
8166,-1557,-5453,13022,471,-1272,1566,16,8,-255
8204,-1537,-5461,12997,428,-1189,1554,-44,-3,-254
8238,-1528,-5484,12967,363,-1207,1588,-155,-38,-264
8267,-1522,-5523,12933,308,-1228,1577,-236,-106,-279
8291,-1505,-5565,12901,300,-1198,1552,-230,-176,-282
8310,-1487,-5619,12867,282,-1253,1598,-279,-247,-286
8322,-1477,-5681,12834,300,-1319,1644,-339,-244,-246
8337,-1480,-5737,12799,310,-1355,1634,-337,-166,-238
8350,-1505,-5767,12774,331,-1495,1722,-249,-13,-157
8366,-1554,-5763,12759,308,-1573,1607,-81,204,-86
8387,-1605,-5731,12754,315,-1382,1518,17,309,-34
8415,-1621,-5651,12768,306,-1252,1550,308,303,-36
8433,-1604,-5553,12802,293,-1175,1800,415,148,14
8413,-1587,-5562,12814,392,-1009,1436,-62,-136,115
8396,-1555,-5591,12816,466,-1173,1580,-105,-241,31
8377,-1549,-5659,12800,506,-1304,1625,-360,-225,22
8355,-1555,-5723,12785,526,-1313,1562,-355,-159,61
8324,-1581,-5784,12774,490,-1335,1493,-375,-89,149
8293,-1615,-5844,12763,440,-1381,1466,-374,-68,136
8265,-1652,-5904,12748,405,-1449,1453,-371,-65,104
8242,-1682,-5958,12734,422,-1511,1446,-296,-58,74
8225,-1701,-5992,12727,423,-1467,1438,-187,-43,64
8212,-1710,-6011,12725,412,-1437,1432,-87,-39,49
8202,-1711,-6023,12726,428,-1414,1448,-52,-48,37
8194,-1709,-6036,12725,435,-1406,1460,-52,-57,26
8185,-1709,-6050,12724,436,-1399,1463,-74,-58,25
8175,-1711,-6069,12721,441,-1391,1455,-107,-55,36
8166,-1717,-6092,12715,439,-1436,1437,-117,-52,24
8160,-1721,-6111,12710,444,-1442,1434,-92,-39,7
8156,-1723,-6124,12705,447,-1447,1433,-57,-26,3
8154,-1723,-6131,12703,448,-1456,1423,-19,-16,4
8154,-1723,-6132,12703,448,-1445,1441,13,-10,8
8153,-1720,-6129,12706,445,-1438,1438,35,-3,8
8152,-1718,-6124,12708,440,-1444,1440,46,4,5
8155,-1715,-6115,12712,430,-1424,1447,58,12,-3
8158,-1710,-6106,12715,434,-1417,1439,68,15,-11
8162,-1705,-6096,12718,443,-1417,1445,72,14,-12
8166,-1699,-6084,12722,437,-1403,1465,74,13,-8
8168,-1694,-6073,12726,428,-1400,1453,68,9,-2
8170,-1689,-6065,12730,440,-1399,1444,61,4,-1
8171,-1683,-6058,12733,445,-1407,1452,59,1,2
8171,-1677,-6050,12737,452,-1425,1452,70,4,6
8172,-1672,-6039,12743,448,-1421,1456,87,12,12
8173,-1667,-6024,12750,441,-1411,1468,103,23,12
8176,-1659,-6002,12759,447,-1393,1471,136,33,17
8177,-1652,-5979,12770,438,-1395,1465,151,32,27
8176,-1645,-5957,12782,440,-1419,1460,164,33,32
8178,-1638,-5931,12794,443,-1441,1466,189,46,25
8186,-1627,-5899,12805,454,-1444,1466,233,65,-3
8198,-1614,-5853,12820,428,-1416,1490,303,94,-16
8212,-1597,-5797,12839,421,-1389,1497,359,104,-17
8230,-1574,-5735,12858,428,-1387,1517,406,102,-36
8250,-1548,-5666,12879,403,-1349,1527,441,107,-52
8273,-1518,-5590,12901,398,-1276,1563,454,105,-58
8294,-1488,-5516,12922,385,-1228,1584,431,91,-53
8311,-1461,-5452,12942,377,-1197,1615,362,69,-42
8324,-1438,-5401,12957,376,-1178,1625,274,43,-32
8333,-1420,-5369,12967,399,-1170,1612,171,18,-20
8337,-1411,-5356,12971,408,-1213,1600,77,3,-11
8339,-1407,-5352,12971,417,-1237,1600,21,4,-13
8340,-1407,-5351,12971,403,-1231,1610,4,13,-12
8342,-1406,-5345,12973,392,-1248,1599,33,11,-9
8342,-1396,-5332,12979,389,-1288,1591,117,-17,-7
8341,-1378,-5314,12989,394,-1285,1607,165,-41,1
8338,-1358,-5293,13001,369,-1229,1619,166,-60,7
8339,-1332,-5274,13011,342,-1248,1684,163,-102,-39
8337,-1294,-5254,13025,333,-1292,1757,205,-173,-43
8339,-1234,-5256,13028,490,-1334,1729,180,-255,-105
8332,-1183,-5281,13028,500,-1357,1621,94,-284,-68
8327,-1131,-5305,13025,486,-1241,1561,62,-290,-86
8327,-1086,-5345,13012,564,-1233,1582,-53,-267,-105
8335,-1053,-5377,12997,542,-1271,1609,-52,-188,-137
8352,-1030,-5414,12972,599,-1254,1565,-109,-118,-173
8387,-1030,-5472,12926,687,-1264,1462,-270,11,-252
8433,-1024,-5521,12875,777,-1168,1435,-260,68,-282
8484,-1040,-5631,12793,697,-1108,1478,-694,-43,-396
8516,-1065,-5772,12706,807,-1155,1461,-867,-89,-294
8519,-1118,-5904,12639,818,-1289,1393,-823,0,-59
8514,-1170,-5988,12598,676,-1301,1308,-534,60,16
